// perfect paradox
//notes:PvE barrel shroud, tactical mag, demolitionist, trench barrel, range/handling mw
dimwishlist:item=3393519051&perks=1300023272,106909392,3523296417,806159697
dimwishlist:item=3393519051&perks=1300023272,106909392,3523296417,2360754333
dimwishlist:item=2248667690&perks=1300023272,106909392,3523296417,806159697
dimwishlist:item=2248667690&perks=1300023272,106909392,3523296417,2360754333


// steelfeather repeater
//notes:mrphang:PvE Smallbore,High-Caliber Rounds/Armor-Piercing Rounds,Feeding Frenzy/Firmly Planted/Subsistence,Multikill Clip/Vorpal Weapon/Swashbuckler,Reload/Stability MW
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,2458213969,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,2458213969,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,2458213969,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,2458213969,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,2458213969,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,2458213969,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,1546637391,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,1546637391,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,1546637391,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,1546637391,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,1546637391,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,1546637391,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,4082225868,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,4082225868,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,4082225868,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,4082225868,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,4082225868,178753455
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,4082225868,178753455
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,2458213969,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,2458213969,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,2458213969,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,2458213969,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,2458213969,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,2458213969,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,1546637391,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,1546637391,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,1546637391,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,1546637391,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,1546637391,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,1546637391,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,4082225868,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,4082225868,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,4082225868,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,4082225868,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,4082225868,384158423
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,4082225868,384158423
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,2458213969,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,2458213969,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,2458213969,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,2458213969,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,2458213969,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,2458213969,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,1546637391,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,1546637391,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,1546637391,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,1546637391,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,1546637391,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,1546637391,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,4082225868,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,4082225868,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,4082225868,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,4082225868,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,4082225868,758092021
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,4082225868,758092021
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,2458213969,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,2458213969,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,2458213969,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,2458213969,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,2458213969,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,2458213969,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,1546637391,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,1546637391,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,1546637391,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,1546637391,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,1546637391,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,1546637391,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,2779035018,4082225868,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,2779035018,4082225868,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,280464955,4082225868,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,280464955,4082225868,2942552113
dimwishlist:item=1251729046&perks=1482024992,1561002382,1820235745,4082225868,2942552113
dimwishlist:item=1251729046&perks=1482024992,1968497646,1820235745,4082225868,2942552113

// patron of lost causes
//notes:mrphang: all around good
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,1546637391,178753455
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,1546637391,178753455
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,3038247973,178753455
